name,genre,summary,director,release_year,image_url
Stab,Drama,,Chuks J. Ejiofor,2019,"https://m.media-amazon.com/images/M/MV5BMDBkYmIzNjUtYzViYi00NjRhLWI5YzEtZDQwZmU5NWYzNDFlXkEyXkFqcGdeQXVyNzc5NDg5Mjc@._V1_UY98_CR15,0,67,98_AL_.jpg"
The Recipient,Drama,,Tope Alake,2019,"https://m.media-amazon.com/images/M/MV5BYmJiMzVhNTEtYmE1NC00OTlkLTg4YzItYzIyNTI1MWJhNzQwXkEyXkFqcGdeQXVyNzc5NDg5Mjc@._V1_UY98_CR5,0,67,98_AL_.jpg"
Taunting Faith,Drama,,Okey-Zubelu Okoh,2019,"https://m.media-amazon.com/images/M/MV5BMDRiZjdmYTgtYmVlNi00OGZjLThjNDYtYTk3YjUzYjViYzlmXkEyXkFqcGdeQXVyNzc5NDg5Mjc@._V1_UY98_CR15,0,67,98_AL_.jpg"
Son of Mercy,Crime,,Amen Imasuen,2020,"https://m.media-amazon.com/images/M/MV5BMTIzZWM3YTEtYWE0NS00OGE2LTkxYjEtMzY3ZDZkYmZiZTViXkEyXkFqcGdeQXVyNzIyMjc4MTg@._V1_UY98_CR40,0,67,98_AL_.jpg"
Gobe,Drama,"Displaced from their home after losing their parents to crisis, Habibah and Ayuba must try to escape from their abusive uncle in search for a home and family.",God'spower Okoh,2021,"https://m.media-amazon.com/images/M/MV5BYTA1OGMxZDgtYzBjNy00Mzk1LWEwNDktZmNjMTg4Y2Y2M2EwXkEyXkFqcGdeQXVyNzc5NDg5Mjc@._V1_UY98_CR1,0,67,98_AL_.jpg"
Irreconcilable Differences,Drama,,Chinneylove Eze,2020,"https://m.media-amazon.com/images/M/MV5BMGVjMDdkMGItMThlOS00ZmQ1LTk0NmYtYjMxYzY0MDkxMmIwXkEyXkFqcGdeQXVyNzc5NDg5Mjc@._V1_UY98_CR15,0,67,98_AL_.jpg"
Powerless,Drama,"Frustrated and heartbroken, Jasmine finds solace in the arms of her husband's best friend but she is about to dance with the devil.",Yemi Morafa, 2020,"https://m.media-amazon.com/images/M/MV5BYWIyNmI0ZjgtOGY3Mi00ZTg3LTlmNzgtMmI1YWQ4MGE0Nzc2XkEyXkFqcGdeQXVyNzc5NDg5Mjc@._V1_UX67_CR0,0,67,98_AL_.jpg"
Beyond Riches,Action,,Hamza Abdullah,2020,"https://m.media-amazon.com/images/M/MV5BNTE1NTFmMTEtOGI2Yi00NDAyLWJjYmYtYTUzY2U0YzljYmRlXkEyXkFqcGdeQXVyMTA5ODE3NjE5._V1_UY98_CR1,0,67,98_AL_.jpg"
Chains,Drama,"Murphy's law states that ""anything that can go wrong will go wrong"" but for the Idemudias everything goes wrong because of something done so long ago that no one knows what it was - and the past has to be corrected.",Andrew Osawaru, 2019,"https://m.media-amazon.com/images/M/MV5BNDkyOGUyYzgtMWMzNy00ODFjLTlhYmEtMzAzNDFlMTAzYmY0XkEyXkFqcGdeQXVyODgzMjY0NjA@._V1_UY98_CR1,0,67,98_AL_.jpg"
Goodbye to Trouble,Drama,Mary and Badmus form an alliance when they realize they share a common problem.,Patience Oghre,2020,"https://m.media-amazon.com/images/M/MV5BOGRhNDBhMDEtNTczZS00ZDdlLTg3ZjgtNGJmMjJmYmNkMDE0XkEyXkFqcGdeQXVyNzc5NDg5Mjc@._V1_UY98_CR15,0,67,98_AL_.jpg"
Swapped,Drama,,Toka McBaror, 2020,"https://m.media-amazon.com/images/M/MV5BOGUxY2IwMGEtOWIyYi00NTYzLWI1ZGQtZGEwY2E1ZTkwY2MzXkEyXkFqcGdeQXVyNzc5NDg5Mjc@._V1_UY98_CR15,0,67,98_AL_.jpg"
Sade Takes Lagos,"Comedy, Drama, Family",,Chibuike Ibe,2019,"https://m.media-amazon.com/images/M/MV5BZWQ0YTQ5ZGEtNzcxZS00Y2RiLWI0NWMtNmUxZDE3N2YyYThjXkEyXkFqcGdeQXVyMTA1Mjg5NTIz._V1_UY98_CR3,0,67,98_AL_.jpg"
True Caller,Comedy,"A man's offer to help puts him in a compromising position, straining his marriage to the verge of collapse.",Chris Eneaji Eneng,2021,https://m.media-amazon.com/images/S/sash/NapCxx-VwSOJtCZ.png
Wahala,Comedy,,Kensteve Anuka,2020,"https://m.media-amazon.com/images/M/MV5BZWI1NmNiZWQtMzljMy00OGIzLTljYTEtMWRjMjQ5NTEzMGQ4XkEyXkFqcGdeQXVyNzc5NDg5Mjc@._V1_UY98_CR7,0,67,98_AL_.jpg"
Garble,Drama,A film about a young man who end up loosing everything for the search of knowledge.,Abu-Bakr Adamu,2022,"https://m.media-amazon.com/images/M/MV5BODhhYzhjNDMtZDUwNy00ZjFiLTk2NTEtNmU0ZGFkZjEzYTA1XkEyXkFqcGdeQXVyMTIzOTkxOTE0._V1_UY98_CR1,0,67,98_AL_.jpg"
Unravel,Drama,A man is forced to rethink his actions when his wife gives him a dose of his own medicine.,Tissy Nnachi, 2019,"https://m.media-amazon.com/images/M/MV5BZWRmOWE2M2YtYWI0OC00YjhhLWFlYTMtMzFmYTFjYWI5YTIxXkEyXkFqcGdeQXVyNzc5NDg5Mjc@._V1_UY98_CR15,0,67,98_AL_.jpg"
Behind the Chaplet,Drama,,Osinachi Titus Godwin,2020,https://m.media-amazon.com/images/S/sash/NapCxx-VwSOJtCZ.png
Restless,Drama,Two college students meet in a school for misfits where they discover they have a lot in common.,Okey Ifeanyi, 2021,"https://m.media-amazon.com/images/M/MV5BMThlMWE0ODktYjE1My00ODNlLWJiYjMtYWIyZTI3M2I5ZmQ3XkEyXkFqcGdeQXVyNzc5NDg5Mjc@._V1_UY98_CR17,0,67,98_AL_.jpg"
Ordinary Fellows,Drama,"An alcoholic professor diagnosed of cancer, takes his students to a legendary resort for an academic excursion. The excursion which was meant to be another scholarly exercise ends up a life-changing adventure for all the participants.",Ikenna Aniekwe,2019,"https://m.media-amazon.com/images/M/MV5BZmY1NjBkMzYtMWQ5NC00NTgwLThmMmMtMTE0YzMxNzJmZWJiXkEyXkFqcGdeQXVyMTA5NjkzODU3._V1_UY98_CR1,0,67,98_AL_.jpg"
Small Talks,Drama,A once happy marriage reaches the brink of crashing after several rounds of infidelity accusations. There appears to be a subtle enemy within.,Stanley Obi,2022,"https://m.media-amazon.com/images/M/MV5BODgxOGExYzYtZTcyNC00NDgzLTliOGQtZmJhMWZiYjYyMDcxXkEyXkFqcGdeQXVyNzc5NDg5Mjc@._V1_UY98_CR15,0,67,98_AL_.jpg"
Love & Issues,Drama,Three couples battle the issues of insecurity and miscommunication in their respective marriages.,I.C. Ukah,2021,"https://m.media-amazon.com/images/M/MV5BNGRkMTM3NDYtZjM2Zi00YWU2LThkM2YtZjA5MDA1MjVmOWE2XkEyXkFqcGdeQXVyNzc5NDg5Mjc@._V1_UY98_CR15,0,67,98_AL_.jpg"
Love Child,Drama,"After his grandmother's death, Chiemele goes to live with his mother who doesn't show him the love he deserves.",Dickson Godwin,2020,"https://m.media-amazon.com/images/M/MV5BMWQyNjg1YzUtM2YzMC00NWMzLWI1NDYtMjZmOTc2NjQzNjM5XkEyXkFqcGdeQXVyNzc5NDg5Mjc@._V1_UX67_CR0,0,67,98_AL_.jpg"
All for Nma,Drama,"Believing that a loved one is worth any sacrifice, Chimobi deals with the choice to sacrifice his life for his wife.",Emeka Bishop Nwabunze,2021,"https://m.media-amazon.com/images/M/MV5BYmY4MGJhMWMtMWRmMy00ZjUxLWIxNDAtYjUzOTBkYjZiM2M5XkEyXkFqcGdeQXVyNzc5NDg5Mjc@._V1_UY98_CR15,0,67,98_AL_.jpg"
Code Wilo,Thriller,"Code Wilo depicts the kidnapping of a female gubernatorial candidate, whose abduction has caused a flurry of unease among the political elites and the law enforcement in the state.",Mike-Steve Adeleye,2019,"https://m.media-amazon.com/images/M/MV5BZmEyY2MyYjMtYzI0Yy00YjRhLTg4N2ItNGU5OGU1NzVlNzY3XkEyXkFqcGdeQXVyNTEzODczMzU@._V1_UY98_CR1,0,67,98_AL_.jpg"
The Teacher,Drama,Anthonia picks up a second job to raise enough money for her mother's medical bills. This new job brings with it some troubles that could threaten her goal.,Uche Agbo, 2021,"https://m.media-amazon.com/images/M/MV5BYmEzMDE2YjAtY2I0Zi00NWQ2LTg2NTgtZDhjOGQzYjFmYjgxXkEyXkFqcGdeQXVyNzc5NDg5Mjc@._V1_UY98_CR15,0,67,98_AL_.jpg"
Love and Poverty,Action,,Emeka Shot It,2020,"https://m.media-amazon.com/images/M/MV5BMjA4ZjZjODEtY2JjNi00NjU2LTg0NTYtOWVlM2YzYmJhYjhhXkEyXkFqcGdeQXVyMTA5ODE3NjE5._V1_UY98_CR3,0,67,98_AL_.jpg"
Sales Girl,Comedy,,Aniedi Awah Noba,2019,"https://m.media-amazon.com/images/M/MV5BY2Y3ZjcxZjItNmI1ZS00NTMwLTk5ODctNTA5ZWFlYWYwMzliXkEyXkFqcGdeQXVyNzc5NDg5Mjc@._V1_UY98_CR1,0,67,98_AL_.jpg"
Truth,Drama,"A young man, Greg, is killed by an unknown family member. Could this be a result of his past deeds?",Biodun Stephen,2021,"https://m.media-amazon.com/images/M/MV5BMWM0MzAwMTQtNGVjNy00MzI2LWE4ODAtZDcxNDQ0MTVmMzdjXkEyXkFqcGdeQXVyNzc5NDg5Mjc@._V1_UY98_CR15,0,67,98_AL_.jpg"
A Chain Reaction,Drama,"When the paternity of a child brings tension into a loving home, a faithful wife must prove her innocence.",Biodun Stephen,2020,"https://m.media-amazon.com/images/M/MV5BZjc1YTQyOGMtYjU3MC00MGVjLTlhYmMtMjcxZWM0MWMwNDI2XkEyXkFqcGdeQXVyNzc5NDg5Mjc@._V1_UX67_CR0,0,67,98_AL_.jpg"
Oche's Secret,Drama,What could make a loving mother turn against her only son but yet remain cordial with her blackmailer?,John Njamah,2019,"https://m.media-amazon.com/images/M/MV5BYzU3NGVjMmMtOWRmNi00MGZiLThhY2ItMTM0YmYxYWEwZDZjXkEyXkFqcGdeQXVyNzc5NDg5Mjc@._V1_UY98_CR15,0,67,98_AL_.jpg"
Feudal Crossroads,Thriller,,Moses Akerele,2021,"https://m.media-amazon.com/images/M/MV5BM2Q1MmYwMWQtMDQwZi00YjY1LTk5ZWItZThjYTk3Nzg4ZjBjXkEyXkFqcGdeQXVyODY2MzQ1MDc@._V1_UX67_CR0,0,67,98_AL_.jpg"
Unfounded,Drama,,Emmanuel Mang Eme,2019,"https://m.media-amazon.com/images/M/MV5BNjhkMzJiYmYtMTQ5MS00OGU1LTk2OTUtOTk2MTU3NjdkMTFiXkEyXkFqcGdeQXVyNzc5NDg5Mjc@._V1_UY98_CR6,0,67,98_AL_.jpg"
Elozonam,Drama,Mr Ejike must change his approach to discipline or lose his children altogether.,John Njamah,2021,"https://m.media-amazon.com/images/M/MV5BNDA2YTZjNzgtYTc2Yi00YTY5LTgwMGQtNjNmZWRmNGEwZjI3XkEyXkFqcGdeQXVyNzc5NDg5Mjc@._V1_UY98_CR15,0,67,98_AL_.jpg"
Desperate Houseboys,Comedy,,Sunkanmi Adebayo,2021,"https://m.media-amazon.com/images/M/MV5BYWFjYTYwNDAtODhhYS00MTkwLTllODYtNjg2NGM1YWM4ZjQ2XkEyXkFqcGdeQXVyNzc5NDg5Mjc@._V1_UY98_CR15,0,67,98_AL_.jpg"
My Mirror,Drama,"A man experiences emotional abuse from his wife, who is haunted by the horror of her childhood experiences witnessing her father abusing her mum.",Ashowo Gboyega,2021,"https://m.media-amazon.com/images/M/MV5BYTE2NWJjNjAtNzg3MS00Y2MwLThmZjAtMWQwYTBmNDgzNjM0XkEyXkFqcGdeQXVyNzc5NDg5Mjc@._V1_UY98_CR5,0,67,98_AL_.jpg"
Ago Alaago,Drama,,Toyin Abraham,2021,https://m.media-amazon.com/images/S/sash/NapCxx-VwSOJtCZ.png
A Bitter Pill,Drama,A housewife holds on to an incident that almost destroyed her life and marriage.,Uche Alexmoore,2021,https://m.media-amazon.com/images/S/sash/NapCxx-VwSOJtCZ.png
When Perfect Feels Wrong,Drama,Friendship is dragged into the mud when the strings of betrayal are pulled by a narcissistic ex and a greedy friend.,Daniel Oriahi,2022,"https://m.media-amazon.com/images/M/MV5BZWEzOTYzMjItMWRlZi00MDlkLWEwNDctMGI1MThmMDZiNzIyXkEyXkFqcGdeQXVyNzc5NDg5Mjc@._V1_UY98_CR15,0,67,98_AL_.jpg"
The Rapist King,Drama,,Ibiso Nifeipiri,2019,https://m.media-amazon.com/images/S/sash/NapCxx-VwSOJtCZ.png
A Walk on Water,Drama,,Tissy Nnachi,2021,"https://m.media-amazon.com/images/M/MV5BZTE5MTFhMDQtYmYyMy00OTUxLTlhYTEtNzI2NmI0MmQ4MDIzXkEyXkFqcGdeQXVyNzc5NDg5Mjc@._V1_UY98_CR12,0,67,98_AL_.jpg"
Intricate,Comedy,"The marriage of a young couple is shaken up when the overly busy wife refuses to dispense affection and attention, placing more importance on her work than her relationship.",Steve Onu,2021,"https://m.media-amazon.com/images/M/MV5BMTZjYzQyM2QtOGViNC00YzA5LTliMzMtODE5YTJjNjYyOWU1XkEyXkFqcGdeQXVyNzc5NDg5Mjc@._V1_UY98_CR15,0,67,98_AL_.jpg"
Austerity,Drama,"A greedy wife comes between two brothers, threatening their family bond.",Sobe Charles Umeh,2020,"https://m.media-amazon.com/images/M/MV5BNTE4N2RjM2EtODM1ZC00MWUzLTkyZGQtMmJlMzBjOTdhYWIzXkEyXkFqcGdeQXVyNzc5NDg5Mjc@._V1_UY98_CR15,0,67,98_AL_.jpg"
Pure,Drama,"A hardworking young man loses his job and has to return to his home village. Regardless, he must find a way to fulfill a promise to his father.",Ernest Obi, 2021,"https://m.media-amazon.com/images/M/MV5BYTc5OThkNmItNjNlZS00YmJjLTk2ZTUtYmZiMTEwMDUxYzZjXkEyXkFqcGdeQXVyNzc5NDg5Mjc@._V1_UY98_CR15,0,67,98_AL_.jpg"
Red Obsession,Drama,Oluchi's desire to get revenge leads to an end she never anticipated.,Kabat Esosa Egbon,2019,"https://m.media-amazon.com/images/M/MV5BNzQ0OGRmYzMtOTQzYS00OTNkLThmNmQtMGM2YTVlMWViMDY0XkEyXkFqcGdeQXVyNzc5NDg5Mjc@._V1_UY98_CR15,0,67,98_AL_.jpg"
A Pierced Heart,Drama,Ogbuefi disowns his daughter and makes a stern decision after she indulges in an illicit affair with his apprentice.,Nonso Emekaekwue,2022,"https://m.media-amazon.com/images/M/MV5BYjAyNDhlZjgtZjhmZC00YmQ1LTg1ZTMtNzQ3ZTJmYTUzZTgyXkEyXkFqcGdeQXVyNzc5NDg5Mjc@._V1_UY98_CR15,0,67,98_AL_.jpg"
The One for Sarah,Drama,,Lyndsey F. Efejuku,2022,https://m.media-amazon.com/images/S/sash/NapCxx-VwSOJtCZ.png
Least Expected,Drama,"Just when Jamal finds forgiveness after cheating on his partner, an even bigger question about his fidelity arises.",Paul Apel Papel,2019,https://m.media-amazon.com/images/S/sash/NapCxx-VwSOJtCZ.png
Broken Vine,Drama,"After her husband's death, Mofe made a decision not to get into another love entanglement, but then Kenneth persuades his way into her life.",Aniedi Awah Noba,2021,"https://m.media-amazon.com/images/M/MV5BYzUxOThiY2QtMDZkMy00YjdlLWEyMzctYWRjNTlhNDdkZWQ5XkEyXkFqcGdeQXVyNzc5NDg5Mjc@._V1_UY98_CR15,0,67,98_AL_.jpg"
Aberration,Drama,Complications arise after a couple hire a call girl to be their surrogate.,Charles Brain Nnoshiri, 2020,"https://m.media-amazon.com/images/M/MV5BN2E3ZGY3NTQtNjRmYS00ZThiLThlNTgtMjhhODFjMmU3YzNhXkEyXkFqcGdeQXVyNzc5NDg5Mjc@._V1_UX67_CR0,0,67,98_AL_.jpg"
Emecheta,"Comedy, Drama",Sikira loves Edozie unconditionally but the price she pays is anything but pleasant.,Great Valentine Edochie,2021,"https://m.media-amazon.com/images/M/MV5BOGU5ODgwZWYtYmFmZS00NDQ1LTk1OTktZjE4NTMzNGQyNDY5XkEyXkFqcGdeQXVyNzc5NDg5Mjc@._V1_UY98_CR15,0,67,98_AL_.jpg"
A Perfect Past,Drama,,Olowajaiye Michael,2020,"https://m.media-amazon.com/images/M/MV5BODQ4ZWM0M2ItZjAzMi00YTZhLWFjMjAtZDlkNGUzNzE4ODBlXkEyXkFqcGdeQXVyNzc5NDg5Mjc@._V1_UY98_CR1,0,67,98_AL_.jpg"
The Prank Movie Human Parts Saga,Comedy,Mc Makopolo uses beautiful ladies to lure men into believing they found a ready made relationship that beats their imagination and then went on to call for a movie audition that was well ...                See full summary »,McMakopolo,2021,"https://m.media-amazon.com/images/M/MV5BOGMzZDljMGQtMzMxMS00NGU2LTkwMzktNTllMThiMDkyNDRmXkEyXkFqcGdeQXVyMTQ2NzA1NDA4._V1_UY98_CR15,0,67,98_AL_.jpg"
Porbeni,Drama,"After several rounds of cancer treatment, Porbeni comes to terms with her fate; but she has one final trick up her sleeve.",Biodun Stephen,2021,"https://m.media-amazon.com/images/M/MV5BMTRmNDQ5Y2QtM2E0Yy00ZTkxLThmZGEtYzBmNGUxNDBjYjRmXkEyXkFqcGdeQXVyNzc5NDg5Mjc@._V1_UY98_CR15,0,67,98_AL_.jpg"
One Way,Drama,"Femi has a terrible experience on his wedding anniversary after receiving distress calls from his office, mistress and wife.",Uche Odoh,2021,"https://m.media-amazon.com/images/M/MV5BZDBlNjY1ODUtOGYzZS00YjJkLTk5YzEtODllOTkzM2I3NWRkXkEyXkFqcGdeQXVyNzc5NDg5Mjc@._V1_UY98_CR15,0,67,98_AL_.jpg"
Baby Blues,Drama,,Emeka Madu, 2022,"https://m.media-amazon.com/images/M/MV5BYTFmNjAzNTItMDQ1Ni00MGVhLTllYjItY2RlZTZjMzdkYjdkXkEyXkFqcGdeQXVyNzc5NDg5Mjc@._V1_UY98_CR15,0,67,98_AL_.jpg"
DIce Game,Drama,"Lousia and Mr Johnson played a serious game in their marriage, Louisa thinking she can take advantage of Mr Johnsons age, while Mr Johnson trying to outsmart the young and ambitious wife of...                See full summary »",Daniel Kenny,2022,"https://m.media-amazon.com/images/M/MV5BOWM3YzFiYTEtNTE4MS00NzgyLWEyMDgtMjMwNjExNDQ4Mzg2XkEyXkFqcGdeQXVyMTI0NzUyNDc3._V1_UY98_CR34,0,67,98_AL_.jpg"
Jaguna's Heart,Drama,A conspiracy against Abike by an admirer will set her on the path to redeeming herself but a jealous lover stands in the way.,Simon Peacemaker,2021,"https://m.media-amazon.com/images/M/MV5BYTU1OTVjNTMtYTc5OS00ZDUzLWI0NTQtMzhkNzg2NmExNTg2XkEyXkFqcGdeQXVyNzc5NDg5Mjc@._V1_UY98_CR15,0,67,98_AL_.jpg"
Dirty Ambition,Drama,"After finishing her tertiary education, Joy moves in with her aunt. While she battles with the fact that her cousin shows signs of deep affection for her, a dirty secret from her aunt's past is revealed.",Olowajaiye Michael,2021,"https://m.media-amazon.com/images/M/MV5BYmM0YTYwMzgtYzMxZS00MDMwLTlkYjctOWY0MmZmN2I3YWQyXkEyXkFqcGdeQXVyNzc5NDg5Mjc@._V1_UY98_CR15,0,67,98_AL_.jpg"
The Last Day,Drama,,Chuks Okpala, 2021,https://m.media-amazon.com/images/S/sash/NapCxx-VwSOJtCZ.png
Executioner,Crime,,Adewale Rasaq,2019,"https://m.media-amazon.com/images/M/MV5BYTYwYjhmNTktYTFmOC00NTRjLTgwZjAtNWRhZmIxYzYxY2E1XkEyXkFqcGdeQXVyNzc5NDg5Mjc@._V1_UY98_CR1,0,67,98_AL_.jpg"
On My Honour,"Comedy, Drama",,Samuel Ogunbiyi,2021,"https://m.media-amazon.com/images/M/MV5BZDQ1ZGRkZjktNTdlYy00MDVhLWJhYzItZmJlZmQ5ZDZhNzljXkEyXkFqcGdeQXVyNzc5NDg5Mjc@._V1_UY98_CR5,0,67,98_AL_.jpg"
Ifenkili,"Comedy, Romance","Ifenkili is a crude village goat herder who doesn't care about being picture perfect for her lover. However, this could make her lose him to the daughter of his wealthy employer.",Eghosa Isibor,2021,"https://m.media-amazon.com/images/M/MV5BNGUyOTUzYjAtNmI3Ny00OGE3LTkyMWYtMWRhYWY0Njg5NTQ4XkEyXkFqcGdeQXVyNzc5NDg5Mjc@._V1_UY98_CR15,0,67,98_AL_.jpg"
Love in the Bahamas,Romance,,Munachhi Mbunabo,2019,https://m.media-amazon.com/images/S/sash/NapCxx-VwSOJtCZ.png
Unconventional,Drama,A couple finds love and companionship in an unconventional way.,Saheed Apanpa,2021,"https://m.media-amazon.com/images/M/MV5BYjk2MTZkYmUtMmZmNi00ODJhLWI0YTYtMDg3MDgzMWJjNDc4XkEyXkFqcGdeQXVyNzc5NDg5Mjc@._V1_UY98_CR7,0,67,98_AL_.jpg"
The Mechanic,Drama,"Humility, empathy and hard work propel a young man from desperate poverty to a path of sustainable growth, but not without the help of a distressed friend.",John Njamah,2021,"https://m.media-amazon.com/images/M/MV5BMjczMDRmNDgtYjU3OC00ZDVlLWJkOGMtNGQ4NTliODdmNzMyXkEyXkFqcGdeQXVyNzc5NDg5Mjc@._V1_UY98_CR15,0,67,98_AL_.jpg"
Izunna,Drama,A young man is locked in perpetual hardship in order to repay reckless debts incurred by his conceited mother and to marry the woman he loves.,Johnpaul Nwanganga,2019,"https://m.media-amazon.com/images/M/MV5BYzJiZmM1NmYtMDc0Mi00OTlkLWE1NDMtN2IzNDZlMDI4ZDU4XkEyXkFqcGdeQXVyNzc5NDg5Mjc@._V1_UY98_CR15,0,67,98_AL_.jpg"
Trigger,Drama,"Dammy is traumatized by an event from his past, but meeting Amara provides an opportunity to overcome his challenges.",Bolanle Olusunde, 2021,https://m.media-amazon.com/images/S/sash/NapCxx-VwSOJtCZ.png
Lonely Nights,Drama,"A couple's marriage reaches the brink of crashing, as the husband is obsessed about his work and the wife is tempted by attention from another man.",Victor Okpala, 2021,https://m.media-amazon.com/images/S/sash/NapCxx-VwSOJtCZ.png
Rising Above,"Comedy, Drama","A young woman throws herself into her work to take her mind off her insecurities about her weight and her past. When her boss is diagnosed with a tumor, she is forced to pull herself out of her comfort zone and confront her fears.",Tope Alake,2019,"https://m.media-amazon.com/images/M/MV5BY2NkNWU2OGMtZmUxYy00NGYzLThkZmUtMTY0YzJlMjNiMTZhXkEyXkFqcGdeQXVyNzc5NDg5Mjc@._V1_UY98_CR15,0,67,98_AL_.jpg"
Stranded,Drama,Two strangers make acquaintance under adverse and unplanned circumstance. How they survive the night depends on how fast they are able to do away with the acquaintance tag and embrace an usual kind of relationship.,Uche Agbo, 2020,"https://m.media-amazon.com/images/M/MV5BNDUyNGJhNDMtM2Y2MS00ZGUyLTg0NDQtY2E2NzY0YTI5NGJhXkEyXkFqcGdeQXVyOTE4NzgwNjg@._V1_UY98_CR1,0,67,98_AL_.jpg"
Through the Wire,Drama,"Desperate for survival, a young lady moves to Lagos to become the breadwinner for her mother and her only daughter.",Biodun Stephen,2020,"https://m.media-amazon.com/images/M/MV5BNmI4ZWI0MjYtNmY4YS00YmMxLThhNTgtNWUyOWFhMTQwMDEyXkEyXkFqcGdeQXVyNzc5NDg5Mjc@._V1_UX67_CR0,0,67,98_AL_.jpg"
Darling of the Gods,Drama,"Okojie, a merchant with undesirable looks strikes a deal with a craftsman to allow his beautiful wife to live with him for a while, the consequence will be overwhelming for both.",Patience Oghre,2022,"https://m.media-amazon.com/images/M/MV5BYjhiMTEzOWYtNGUyZC00M2FjLTlmMjEtNDJmYTY1NzdlOGE2XkEyXkFqcGdeQXVyNzc5NDg5Mjc@._V1_UY98_CR15,0,67,98_AL_.jpg"
Social Media 101,Comedy,Three women run into work and relationship trouble when they get involved with social media.,Paul Iheanyichukwu Igwe,2019,"https://m.media-amazon.com/images/M/MV5BOWQwYWFjZjYtYjE1NC00MmViLWFjYjAtNmJiMzI1NWJhNTMyXkEyXkFqcGdeQXVyNzc5NDg5Mjc@._V1_UX67_CR0,0,67,98_AL_.jpg"
Hell's Candidate,Drama,"Unable to separate the roles of wife, mother, and pastor, a woman risks sabotaging her marriage and the only road to happiness for her son.",Udezeh Onyinye,2021,"https://m.media-amazon.com/images/M/MV5BNjFlYTI0NDgtOGI4YS00Yjc4LWIyYTItM2E0NmZjMjZjYWVlXkEyXkFqcGdeQXVyNzc5NDg5Mjc@._V1_UY98_CR15,0,67,98_AL_.jpg"
Space Out,Comedy,"Two roommates of convenience must pull off an act to avoid losing their accommodation. However, their constant arguing puts the charade in jeopardy.",Okey Ifeanyi,2020,"https://m.media-amazon.com/images/M/MV5BMTI0ZGRlYjQtNGY4Ny00NDc5LTg2NmUtMzk4NjZjNDZiYmVjXkEyXkFqcGdeQXVyNzc5NDg5Mjc@._V1_UY98_CR15,0,67,98_AL_.jpg"
Made for More,Drama,Natasha refuses to compromise her values for anything but her jealous friend comes up with a plan that could test her resolve.,Tissy Nnachi,2021,"https://m.media-amazon.com/images/M/MV5BYmRmZTU5OTktZWRmZC00YWI0LWFjMGItNGY5MWMzMjUxMWQxXkEyXkFqcGdeQXVyNzc5NDg5Mjc@._V1_UY98_CR15,0,67,98_AL_.jpg"
For Richer,Drama,Leye and Hadiza Adeyemi have fallen out of love and are heading for a divorce. They are both happy with this decision until Leye's parents come to stay for the weekend and things gets very awkward.,Chris Ihidero,2021,https://m.media-amazon.com/images/S/sash/NapCxx-VwSOJtCZ.png
A Piece of Me,"Drama, Romance","When two people in love keep secrets, complications are bound to arise.",Best Okoduwa, 2020,"https://m.media-amazon.com/images/M/MV5BMzVmY2YyNTYtMmViMC00M2Q1LThlMDYtZDYzNjkxNzI3NjUwXkEyXkFqcGdeQXVyNzc5NDg5Mjc@._V1_UY98_CR15,0,67,98_AL_.jpg"
Nkiru Special,Drama,A network of young people from different strata of society work to prove that growth and dignity are equal rights for all humans.,Okey Ifeanyi,2021,"https://m.media-amazon.com/images/M/MV5BOGFiZmFlMGItZDVkNy00MWM0LTg2ZDAtNzAwNWIyYTM4MDQ3XkEyXkFqcGdeQXVyNzc5NDg5Mjc@._V1_UY98_CR15,0,67,98_AL_.jpg"
Unplanned,Drama,The marriage of a young struggling couple is brought to the brink when an unplanned event forces them to make the toughest decision of their lives.,Shittu Taiwo,2021,https://m.media-amazon.com/images/S/sash/NapCxx-VwSOJtCZ.png
The Grudge,Drama,"Adaego finally gets an opportunity for revenge, several years after she thought her best friend had betrayed her.",Udezeh Onyinye, 2020,"https://m.media-amazon.com/images/M/MV5BMzA5YmI3ODctMmViZC00M2M2LTllZmUtMTk1NTQyYzA4ZmZmXkEyXkFqcGdeQXVyNzc5NDg5Mjc@._V1_UY98_CR16,0,67,98_AL_.jpg"
The Donor,Drama,A terrified woman and her friend plan to get rid of her intransigent and abusive husband.,Mike Ezuruonye,2021,"https://m.media-amazon.com/images/M/MV5BNDhmZDMzMjUtMjc0NC00MmExLWE3YzctODIyMGJlNTAyNDQ4XkEyXkFqcGdeQXVyNzc5NDg5Mjc@._V1_UY98_CR15,0,67,98_AL_.jpg"
The Gift,Drama,A young single mother falls for an abusive lover.,Princewill Emmanuel Kelly, 2019,https://m.media-amazon.com/images/S/sash/NapCxx-VwSOJtCZ.png
Aunty Adanne,Drama,,Armani J. Armani,2021,https://m.media-amazon.com/images/S/sash/NapCxx-VwSOJtCZ.png
Pushback,Drama,"It's love at first sight for Uzor and Nkasi. Everything is upbeat till their parents meet, unearthing a painful history.",Teco Benson,2021,"https://m.media-amazon.com/images/M/MV5BYjRlNjgwYjktYTZkOS00MDA2LWIwM2MtMzc3NGYxZmFlY2NkXkEyXkFqcGdeQXVyNzc5NDg5Mjc@._V1_UY98_CR15,0,67,98_AL_.jpg"
Unscripted,Drama,,Okey Ifeanyi,2022,https://m.media-amazon.com/images/S/sash/NapCxx-VwSOJtCZ.png
