name,genre,summary,director,release_year,image_url
Still Falling,"Drama, Romance","The movie tells the story about love and forgiveness. This story of opposites of feelings - love and hate, faith and doubt, grace and guts, triumphs and regrets.",Dimbo Atiya,2021,"https://m.media-amazon.com/images/M/MV5BY2ZlMmQ3MjktNzg0Yy00ZDQyLTg3OTgtMmViY2UwNGRhNmFhXkEyXkFqcGdeQXVyNzc5NDg5Mjc@._V1_UY98_CR4,0,67,98_AL_.jpg"
Small Chops,Drama,"Nikita, an afro dancer at a bar catches the attention of Casper, an uptight business mogul. Casper pays for a weekend of private entertainment, things don't go as planned.",Robert Peters,2020,"https://m.media-amazon.com/images/M/MV5BNzE5MTQ1YjAtZmE2NS00ZDc4LThiYTItM2VkMTk3ZmY3NTU2XkEyXkFqcGdeQXVyNDA2MzY0MzY@._V1_UX67_CR0,0,67,98_AL_.jpg"
Gone,Drama,"When Ani leaves his wife, a 2 year old daughter and an unborn son back in Nigeria in search for a better life in New York City, he suddenly vanishes without a trace. 25 years later, he ...                See full summary »",Daniel Ademinokan, 2021,"https://m.media-amazon.com/images/M/MV5BNjQ2YzA2MmYtMWM5NS00MjZkLWEyODktZGNhMWUwOTIwYTBkXkEyXkFqcGdeQXVyMjE2NzY4NzE@._V1_UY98_CR5,0,67,98_AL_.jpg"
BADAMASI (Portrait of a General),"Biography, History, Thriller","A flawed Army General attempts to guide an impossible African country through a viciously strained era in this first of its kind, authorised biopic, based on real events.",Obi Emelonye,2021,"https://m.media-amazon.com/images/M/MV5BYjU3NWE4OGMtMmRkMS00ZWRhLTkwNzQtMDA0MDQzZDBkMjViXkEyXkFqcGdeQXVyNzM0Mjc0Mg@@._V1_UY98_CR5,0,67,98_AL_.jpg"
Tack,Drama,Two young men who are madly in love get caught by their homophobic relations and the relationship tends to face many obstacles.,Patrick Kidochukwu,2022,"https://m.media-amazon.com/images/M/MV5BYTExMmNkZDYtNDU4NC00N2I2LThkNzYtOGM5YzdhZTc3YThmXkEyXkFqcGdeQXVyODU3Nzk2NDU@._V1_UY98_CR15,0,67,98_AL_.jpg"
My Village People,"Comedy, Fantasy",A young man's weakness for women lands him in trouble when he is caught in a bizarre love triangle with witches.,Niyi Akinmolayan,2021,"https://m.media-amazon.com/images/M/MV5BNGQ3NzYwMmMtYjc3NS00NjliLTkyZTAtOTI1YmZiMWRhZDEyXkEyXkFqcGdeQXVyNzc5NDg5Mjc@._V1_UY98_CR5,0,67,98_AL_.jpg"
Òlòturé,"Crime, Drama",A journalist goes undercover as a prostitute to expose human trafficking but she only finds a world of exploited women and ruthless violence.,Kenneth Gyang,2019,"https://m.media-amazon.com/images/M/MV5BOGJlMGQxMTktMWZmNC00ZDU0LWEyNjMtNmZlY2Y3MmFkM2M5XkEyXkFqcGdeQXVyNzgzMTc2OTA@._V1_UY98_CR1,0,67,98_AL_.jpg"
Divergent,"Comedy, Drama",,Nuhu Dalyop,2021,"https://m.media-amazon.com/images/M/MV5BODJhNzUxMzEtMmMwNy00MmMxLTliNjMtNWY1YTI2NzUxNTRkXkEyXkFqcGdeQXVyNzc5NDg5Mjc@._V1_UY98_CR3,0,67,98_AL_.jpg"
Gold Statue,"Adventure, Comedy, Drama","A prized gold statue drives two best buddies on an adventure to find it and unlock its powers. But does the statue even really exist - and if found, does it really hold magical powers?",Tade Ogidan,2019,"https://m.media-amazon.com/images/M/MV5BOGM0YmQ1ODUtMGYyMS00MzM2LTkxMGItNmVkMjJlNjM4ZWQwXkEyXkFqcGdeQXVyODMyMDA2MjQ@._V1_UY98_CR1,0,67,98_AL_.jpg"
Three Thieves,Comedy,"Due to a case of mistaken identity, three dissatisfied friends are contracted to commit a seemingly simple theft. Even worse, the man originally contracted for the job is on the hunt for them.",Udoka Oyeka,2019,"https://m.media-amazon.com/images/M/MV5BMjkyNDlhMDAtZTNiYi00OGYxLWJhNWMtMzMyNTJmYjBjZWE4XkEyXkFqcGdeQXVyODMyMDA2MjQ@._V1_UX67_CR0,0,67,98_AL_.jpg"
One Lagos Night,"Comedy, Crime",An unemployed graduate risks his freedom to commit a crime that he hopes would pay off big time.,Ekene Som Mekwunye,2021,"https://m.media-amazon.com/images/M/MV5BNjI0MDcyNTAtZjVlYi00MWQ3LWFiNDAtOGMwYWE3MmI4YTNhXkEyXkFqcGdeQXVyMTMyOTk2NzY4._V1_UY98_CR39,0,67,98_AL_.jpg"
A Simple Lie,"Comedy, Drama","When Boma tries to win back her ex by telling him that she has cancer, her simple lie soon spirals out of control.",Biodun Stephen,2022,"https://m.media-amazon.com/images/M/MV5BZTc4NjQyMGEtZTJhMi00NGE0LTkzNzYtOWRiZjljZTcxZDI1XkEyXkFqcGdeQXVyNzc5NDg5Mjc@._V1_UY98_CR6,0,67,98_AL_.jpg"
Dinner at My Place,"Comedy, Romance",,Kevin Luther Apaa,2022,"https://m.media-amazon.com/images/M/MV5BMDMxZTE2OTktYTdkNS00YTU3LTg5OTEtZjZjNTBiZGY0NmJiXkEyXkFqcGdeQXVyMTQ2Njc4ODA4._V1_UX67_CR0,0,67,98_AL_.jpg"
Brotherhood,Crime,"After years of fighting to survive on the streets of Lagos, two brothers fall on opposite sides of the law. The bonds of brotherhood are put to the ultimate test as one joins a Taskforce that hunts down the other and his gang.",Loukman Ali,2022,"https://m.media-amazon.com/images/M/MV5BN2RlYjBlNmUtZDIxMi00OGE5LTg3NTEtOTlkOTU0ODlhNjY2XkEyXkFqcGdeQXVyOTczMjI0MjI@._V1_UY98_CR4,0,67,98_AL_.jpg"
The Set Up,"Crime, Drama",A former drug smuggler and a confidence artist gets more than she bargains for when she is hired by a down on his luck businessman to assist with his scheme to marry a wealthy heiress. ...                See full summary »,Niyi Akinmolayan,2019,"https://m.media-amazon.com/images/M/MV5BYzQwZDhkYjQtZjNiNy00YTYzLTk1YTktNTQ4YTI4YTU2YTQ5XkEyXkFqcGdeQXVyNTMzODgyMDQ@._V1_UY98_CR5,0,67,98_AL_.jpg"
Muna,"Action, Crime, Drama",'Muna' is the story of a spirited girl raised by her grandmother; the last surviving member of their family. Muna's driving desire to provide a better life for herself and grandmother in ...                See full summary »,Kevin Nwankwor,2019,"https://m.media-amazon.com/images/M/MV5BYzE1ZTRkZDgtNTUyOS00MzRmLWE4NzUtZGNmZDgxOWI3Mzc4XkEyXkFqcGdeQXVyMzc4ODY4MTk@._V1_UY98_CR1,0,67,98_AL_.jpg"
King of Thieves,"Action, Drama, Fantasy","Driven by the thirst for revenge, an invincible bandit exerts a reign of terror on the fictional Kingdom of Ajeromi.",Tope Adebayo,2022,"https://m.media-amazon.com/images/M/MV5BNzVjMmUyNjgtZTNlYi00ODFmLWExY2UtMmQwZmE3MTM2YTdhXkEyXkFqcGdeQXVyNzc5NDg5Mjc@._V1_UY98_CR1,0,67,98_AL_.jpg"
Dear Husband,Romance,"Steve and Funmilola are happily married. Like a match made in heaven, their love seem perfect. Until a past mistake, in form of an old flame, and pressure from friends test their commitment...                See full summary »",Bayo Alawiye,2019,"https://m.media-amazon.com/images/M/MV5BYTAyZjlmYTMtZGUxZC00ODZiLWIyODAtMDdjODJmZWMxYjQ5XkEyXkFqcGdeQXVyMTEwOTY2MjQ4._V1_UY98_CR3,0,67,98_AL_.jpg"
